file_path,label,transcript
16a02Lb.wav,boredom, Das will sie am Mittwoch abgeben.
14a07Wc.wav,anger, In sieben Stunden wird es so weit sein.
10a07Ad.wav,fear, Hinsiebe Stunden wird es so weit sein.
13a05Ea.wav,disgust," Das schwarze Blattpapier befindet sich da oben, neben dem Holzstück."
14a05Wa.wav,anger," Das schwarze Blattpapier befindet sich da oben, neben dem Holzstück."
14a07Na.wav,neutral, In sieben Stunden wird es so weit sein.
15a05Wa.wav,anger, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
16b10Wb.wav,anger," Die wird auf dem Platz sein, wo wir sie immerhin legen."
09a01Nb.wav,neutral, Der Lappen liegt auf dem Eischrank.
16a01Fc.wav,happiness, Der Lappen liegt auf dem Eisschrank.
14a04Ed.wav,disgust, Heute Abend könnte ich es ihm sagen.
11a01Ab.wav,fear, Der Lappen liegt auf dem Eisschrank.
09b02Na.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
03a05Nd.wav,neutral, Das schwarze Plattpapier befindet sich da oben neben dem Holzstück.
10a01Ac.wav,fear, Da klappt nicht auf dem Einschrank!
16a04Ab.wav,fear, Heute Abend könnte ich es ihm sagen.
15b02Nd.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
16b09Wb.wav,anger, Ich will das eben wegbringen und dann mit Kahl was trinken gehen.
11a01Ld.wav,boredom, Der Lappen liegt auf dem Eisschrank.
08a01Wa.wav,anger, Der Lappen liegt auf dem Eisrank.
09b02Wc.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
12b09Td.wav,sadness, Ich will das eben wegbringen und dann mit kral was trinken gehen.
10b02Aa.wav,fear," Sie haben es gerade hochgetragen, jetzt gehen Sie wieder runter."
16a04Tc.wav,sadness, Heute Abend könnte ich es im Sagen.
16b01La.wav,boredom," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Wa.wav,anger," Was sind denn das Vertüten, die da unter dem Tisch stehen?"
12b01Wa.wav,anger, Was sind denn das für Typen die da unter dem Tisch stehen?
13b03Na.wav,neutral, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Arknis besucht.
12a02Wc.wav,anger, Das will sie ja mitworg abgeben.
16b03Ad.wav,fear, In den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
13b03Wc.wav,anger, An den Wochenenden bin ich jetzt immer in der Hause gefahren und habe Agnes besucht.
13b01Nc.wav,neutral," Was sind denn das Vetyten, die da unter dem Tisch stehen?"
15a02Ea.wav,disgust, dass ich will sie am Mittwoch abgegeben.
11a05Td.wav,sadness, Das schwarze Blatt Papier befindet sich da oben. Nehmen dem Holzstück.
14a02Ea.wav,disgust, Das will sie am Mittwoch abgeben.
09b03Ed.wav,disgust, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Argendes besucht.
13a02Wa.wav,anger, Das will sie am Mittwoch abgeben.
16b03La.wav,boredom, An den Wochenende bin ich jetzt in meiner Hause gefahren und habe ein eigenes Besuch.
12a02Wa.wav,anger, Das will sie am Mittwoch abgeben.
13b10La.wav,boredom," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
03b02Wb.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
13a02Nc.wav,neutral, das wir sie am Mittwoch abgeben.
16b01Lc.wav,boredom," Es sind Missvertüten, die da am Tisch stehen."
16b10Wa.wav,anger," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
15b01Ec.wav,disgust," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
14a05Wb.wav,anger, Das schwarze Blattpapier befindet sich da oben neben dem Holzstück.
14b02Wd.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
08a01Na.wav,neutral, Der Lappen liegt auf dem Eisschrank.
08a01Wc.wav,anger, Der Lappen liegt auf dem Eis zwang!
11a01Aa.wav,fear, Der Lappen liegt auf dem Eisschrank.
08b02Nb.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
13b09La.wav,boredom, Ich will das eben wegbringen und dann mit Kawa strengen gehen.
09a01Wb.wav,anger, Der Lappen liegt auf dem Eischrank.
11b02Ab.wav,fear, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
15a07Nc.wav,neutral, In sieben Stunden wird es so weit sein.
14b01Eb.wav,disgust," Was sind denn das für Töten, die da unter dem Tisch stehen?"
11a05Ad.wav,fear, Das schwarze Blur-Papier. Wir findet sich da oben neben dem Holzstück.
03a01Nc.wav,neutral, Der Lappen liegt auf dem Eisschrank.
12a02Nb.wav,neutral, das will sie am Mittwoch abgeben.
11a05Lc.wav,boredom," Das schwarze Blatt Papier, befindet sich da oben, neben dem Holzstück."
15a05Na.wav,neutral, Das schwarze Blattpapier befindet sich da oben neben dem Holzstück.
03a01Wa.wav,anger, Der Lappen liegt auf dem Eisschrank!
14a05Na.wav,neutral, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a07Wd.wav,anger, In sieben Stunden wird es so weit sein.
10a07La.wav,boredom, In sieben Stunden wird es soweit sein.
03b02Na.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
09a02Ea.wav,disgust, Das will sie am Mittwoch abgeben.
14b03Ed.wav,disgust, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
12b10Ld.wav,boredom," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
09a05Wb.wav,anger, Das schwarze Blattbar-Pier befindet sich da oben neben dem Holzstück.
16b01Aa.wav,fear," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
11a02Fb.wav,happiness, Das will sie am Mittwoch abgeben.
12b10Ac.wav,fear," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
15b02Wa.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
14b09Fc.wav,happiness, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
09b02Wd.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
10a04Fd.wav,happiness, Heute Abend könnte ich ja sie sagen.
10b02La.wav,boredom, Der hat es gerade hochgetragen und jetzt gehen sie wieder runter.
03a05Wa.wav,anger, Das schwarze Plattpapier befindet sich da oben neben dem Holzstück.
11a04Fd.wav,happiness, Heute Abend könnte ich es ihm sagen.
14a01Na.wav,neutral, der Lappen liegt auf dem Alschrank.
08b02Wd.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
12b02Ea.wav,disgust, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
13b09Ab.wav,fear, Ich will das eben wegbringen und dann mit Kahl was trinken gehen.
13a01Ec.wav,disgust, Der Lappen liegt auf dem Eisschrank.
03a07Wc.wav,anger, In sieben Stunden wird es so weit sein.
14a01Wc.wav,anger, Der Lappen liegt auf dem Eisschrank.
13a04Wc.wav,anger, Heute Abend könnte ich es ihm sagen.
12a04Wc.wav,anger, Heute Abend könnte ich erst ihm sagen.
16a04Lc.wav,boredom, Heute Abend könnte ich es im Sagen.
12b09Ac.wav,fear, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
16a07Fb.wav,happiness, In sieben Stunden wird es so weit sein.
10a05Aa.wav,fear, Das schwarze Blatt Papier befindet sich da oben neben dem Halsstück.
16a02Tc.wav,sadness, das will sie mit vorab gehen.
09a05Wc.wav,anger, Das schwarze Blatt-Papier befindet sich da oben neben dem Holzstück.
11b03Fc.wav,happiness, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11a07Ac.wav,fear, In sieben Stunden wird das so weit sein.
10b01Fa.wav,happiness," Was sind denn das für Tüten, die dann mit dem Tisch stehen?"
11a07Ld.wav,boredom, In sieben Stunden wird soweit sein.
10a05Tb.wav,sadness, Das schwarze Blattpapier befindet sich der Oben neben dem Holzstück.
11b01Fc.wav,happiness," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08a07Wc.wav,anger, In sieben Stunden wird es soweit sein.
08b10Fd.wav,happiness," Die wird auf dem Platz sein, wo wir sie immerhin legen."
09a02Eb.wav,disgust, Das wir Sie mit vorab geben.
10a07Aa.wav,fear, In 7 Stunden wird es so weit zahlen.
10a05Ld.wav,boredom, Das Schwarze Blattpapier befindet sich da oben neben dem Holzstück.
08a07Na.wav,neutral, In sieben Stunden wird es so weit sein.
09a07Na.wav,neutral, In sieben Stunden wird es so weit sein.
08a05Wa.wav,anger, Das Schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
10a02Fa.wav,happiness, Das will sie mit Woche abgeben.
16b03Ta.wav,sadness, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
14b02Wb.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
03a05Wb.wav,anger, Das schwarze Plat-Papier befindet sich da oben neben dem Holzstück.
15a01Nb.wav,neutral, Der Lappen liegt auf dem Eisschrank.
16a04La.wav,boredom, Heute Abend könnte ich es im Sagen.
16b02Fd.wav,happiness, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
11b02Td.wav,sadness, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
14a01Wa.wav,anger, Der Lappen liegt auf dem Eisschrank.
15a01Wa.wav,anger, Der Lappen liegt auf dem Eisschrank!
13a01Ea.wav,disgust, Der Erlappen liegt auf dem Eischrank.
14b02Na.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
08b09Fd.wav,happiness, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03a07Nc.wav,neutral, In sieben Stunden wird es soweit sein.
15b09Fa.wav,happiness, Ich will das eben wegbringen und damit KAL was trinken gehen.
15b02Wc.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
16a07Fa.wav,happiness, In sieben Stunden wird es so weit sein.
11a07Ta.wav,sadness, In 7 Stunden wird es soweit sein.
10a07Ta.wav,sadness, In sieben Stunden wird es weizellen.
09b01Ea.wav,disgust," Was ist denn das für Küten, die da unter dem Tisch steht?"
16b01Tb.wav,sadness," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
16a05Fc.wav,happiness, Das schwarze Blattpapier befindet sich der Oben neben dem Haltstück.
09a05Nb.wav,neutral, Der schwarze Blatt Papier befindet sich da oben neben dem Holstück.
09a07Wb.wav,anger, In sieben Stunden wird es so weit sein!
08a05Nb.wav,neutral, Das Schwarze Blatt Papier befindet sich der Oben neben dem Holzstück.
10b01Aa.wav,fear," Was sind das für Tüten, die da in einem Tisch stehen?"
08b10La.wav,boredom," Die wird auf dem Platz sein, wo wir sie immerhin legen."
15b10Ac.wav,fear," die wird auf dem Platz sein, wo wir sie immerhin legen."
10b03Tb.wav,sadness," An den Wochenenden bin ich jetzt immer nach Hause gefahren, habe Arkenes besucht."
11a02Ld.wav,boredom, Das wir sie mit doch abgeben.
13b03Ed.wav,disgust, An den Wochenende bin ich jetzt immer nach Hause gefahren und habe... ... Agnus besucht.
08b01Na.wav,neutral," Was sind denn das Vetyten, die da unter dem Tisch stehen?"
15a02Wd.wav,anger, Das will sie mit Woche abgeben.
09b01Na.wav,neutral," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03b01Nb.wav,neutral," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
12a01Wc.wav,anger, Der Lappen liegt auf dem Eischrank!
15a04Wb.wav,anger, Heute Abend könnt ich es im Sagen!
03a02Wb.wav,anger, Das will sie am Mittwoch abgeben.
14a04Wb.wav,anger, Heute Abend könnte ich ja sieben sagen.
13b02Wa.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder unter.
12b02Wa.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
13b09Fc.wav,happiness, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03b01Wa.wav,anger," Was sind denn das für Typen, die da unter dem Tisch stehen?"
13b09Fb.wav,happiness, Ich will das eben wegbringen und dann mit Kahl was trinken gehen.
14a04Wc.wav,anger, Heute Abend könnte ich er sieben sagen.
03a02Wc.wav,anger, Das will sie ja mitwuch abgeben.
13a01Wb.wav,anger, Der Latten liegt auf dem Eisschrank!
03b03Wc.wav,anger, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnis besucht.
16a01Lb.wav,boredom, Wer Lappen liegt auf dem Eischrank?
14b09Ac.wav,fear, Ich will das eben wegbringen und dann mit Kavas trinken gehen.
13b02Nb.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
15b09Ac.wav,fear, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
10a02Ab.wav,fear, Das will sie mit vorken abgeben.
12a05Nd.wav,neutral, Das Schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
14b10Tc.wav,sadness," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
16b01Fa.wav,happiness," Was sind denn das für Tüten, die da unter den Tisch stehen?"
09b03Nb.wav,neutral, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Argendes besucht.
08b03Nb.wav,neutral, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b01Wb.wav,anger," Was sind denn das für Tüten, die da unter dem Tür stehen?"
11a02Tc.wav,sadness, das will sie mitfach abgeben.
16b03Fa.wav,happiness, An den Wochenend bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b01Ab.wav,fear," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
16a05Tb.wav,sadness," Das schwarze Blattpapier befindet sich da oben, neben dem Holzstück."
09a02Wb.wav,anger, Das will sie ja mit Woche abgeben!
11a05Fb.wav,happiness, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09b03Wb.wav,anger, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Argendes besucht.
13b10Fa.wav,happiness," Die wird auf dem Platz sein, wo wir sie immerhin legen."
08b09Lc.wav,boredom, Ich will das eben wegbringen und dann mit Kael was trinken gehen.
11b02Fd.wav,happiness, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
15a04Wa.wav,anger, Heute Abend könnte ich es ihm sagen.
12b02Wb.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
03b01Wc.wav,anger," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
16b02Lb.wav,boredom, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
13a01Nb.wav,neutral, Der Lappen liegt auf dem Eisschrank.
12a01Nb.wav,neutral, Der Lappen liegt auf dem Eisschrank.
15a04Nc.wav,neutral, Heute Abend könnte ich es ihm sagen.
03a02Nc.wav,neutral, Das will sie ja mitwuch abgeben.
15b09Ta.wav,sadness, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03b03Nb.wav,neutral, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Arknes besucht.
15a01Ea.wav,disgust, Der Lappen liegt auf dem Eisschrank.
14a01Ea.wav,disgust, Der Lappen liegt auf dem Eisschrank.
12b02Na.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
09a07Eb.wav,disgust, In sieben Stunden wird es so weit sein.
11a05Fc.wav,happiness, Das Schwarze Blatt Papier! Wir findet sich da oben! Nehen dem Holzstück!
03b09La.wav,boredom, Ich will das eben wegbringen und dann mit Kael was trinken gehen.
08a02Wc.wav,anger, Das wir Sie am Mittwoch abgeben!
08b01Wa.wav,anger," Was sind denn das für Tücken, die da unter dem Tisch stehen?"
16a05Ab.wav,fear, Das schwarze Blatt Papier befindet sich da oben im Holzstück.
08a02Na.wav,neutral, das will sie mit dem Abgeben.
16b10Eb.wav,disgust," Die wird auf dem Platz sein, wo wir sie immerhin legen."
14b10Lb.wav,boredom," Wie wird auf dem Platz sein, wo wir sehr mal hinlegen?"
16b03Fd.wav,happiness, An den Wochenende bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
16a05La.wav,boredom, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
11b03Td.wav,sadness, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09a05Ed.wav,disgust, Das schwarze Blattbarpier befindet sich da oben neben dem Heuchstück.
03b09Tc.wav,sadness, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
13a05Wa.wav,anger, Das schwarze Blattpapier befindet sich da oben neben dem Holzstück.
13a07Na.wav,neutral, In sieben Stunden wird es so weit sein.
15b03Wb.wav,anger, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Argendes besucht.
14b03Wb.wav,anger, An den Wochenend bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
10a02Lb.wav,boredom, Das will sie am Mittwoch abgeben.
15a02Wb.wav,anger, Das will sie am Mittwoch abgeben!
09a04Wa.wav,anger, Heute Abend könnte ich es ihm sagen.
11a04Ac.wav,fear, Heute Abend könnt ihr es ihm sagen.
08a04Nc.wav,neutral, Heute Abend könnte ich es ihm sagen.
11b09Na.wav,neutral, Ich will das eben wegbringen und dann mit Kahl was trinken gehen.
14b09Td.wav,sadness," Ich will das eben wegbringen, und dann mit Kail was trinken gehen."
03b10Ab.wav,fear," Die wird auf dem Platz sein, wo wir sie immerhin legen."
16b02Aa.wav,fear, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
16a01Tb.wav,sadness, Der Lappen liegt auf dem Eisschrank.
09a04Nb.wav,neutral, Heute Abend könnte ich erst im Sagen.
14b09Lb.wav,boredom, Ich will das eben wegbringen und dann mit Kawa's trinken gehen.
16b09Eb.wav,disgust, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
09a01Ea.wav,disgust, Der Lappen liegt auf dem Eischrag.
10b09Wb.wav,anger, Ich will das eben wegbringen und dann mit Karl was trinken gehen!
13a05Nb.wav,neutral, Der schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
13a07Wb.wav,anger, In sieben Stunden wird es so weit sein.
14a02Wc.wav,anger, Das will sie am Mittwoch abgeben.
03a04Wc.wav,anger, Heute Abend könnt ich's im Sagen.
11b03Lc.wav,boredom, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
16a07Lb.wav,boredom, 7 Stunden wird es so weit sein.
12a02Ec.wav,disgust, Das will sie ab mit Wort abgeben.
13a02Ec.wav,disgust, Das will sie am Mittwoch abgeben.
14a07Eb.wav,disgust, In sieben Stunden wird es so weit sein.
15a07Eb.wav,disgust, In sieben Stunden wird es soweit sein.
14b10Ad.wav,fear," Die wird auf dem Herzen, wo wir sie immerhin legen."
15a02Na.wav,neutral, das wir sie mit Woche abgeben.
16a07Td.wav,sadness, In sieben Stunden wird es so weit sein.
09b10Aa.wav,fear," Du wirst auf dem Platz sein, wo wir sehen, wir hinlegen."
15b10Lc.wav,boredom," Die wird auf dem Platz sein, wo sie sie immerhin legen."
08b10Aa.wav,fear," Die wird auf dem Platz sein, wo wir sie immerhin legen."
14b01Wc.wav,anger," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
15a05Eb.wav,disgust," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
15b01Wc.wav,anger," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03a04Nc.wav,neutral, Heute Abend könnt ichs ihm sagen.
14a02Nc.wav,neutral, Das will sie mit vorab geben.
11b10Wa.wav,anger," Die wird auf dem Platz sein, wo wir sie immerhin legen."
12a05Wb.wav,anger, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
10b10Wa.wav,anger," Die wird auf dem Platz sein, wo wir sie immerhin legen."
13b01Ec.wav,disgust, Was sind denn das für Tüten wieder unter dem Tisch stehen?
15b01Na.wav,neutral," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
15b03Wa.wav,anger, An den Wochenenden bin ich immer nach Hause gefahren und habe Agen des Besuchtes.
14b01Na.wav,neutral," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
10b03La.wav,boredom, An den Wochenende bin ich jetzt immer nach Hause gefahren und habe Argendes besucht.
14a02Wa.wav,anger, Das will sie er mit Wochen abgeben.
08b03Wd.wav,anger, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnus besucht.
11b10Nc.wav,neutral," Die wird auf dem Platz sein, wo wir sie immerhin legen."
08b09Ab.wav,fear," Ich will das eben wegbringen und dann kau, was trinken gehen."
12b02Wd.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter!
16a04Fa.wav,happiness, Heute Abend könnte ich es ihm sagen.
08b09Tb.wav,sadness, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
15b09La.wav,boredom, Ich will das eben wegbringen und damit Karl was trinken gehen.
11b09Wa.wav,anger, Ich will das eben wegbringen und dann mit Kail was trinken gehen.
08a04Wc.wav,anger, Heute Abend könnte ich es ihm sagen!
08b10Tc.wav,sadness," die wird auf dem Platz sein, wo wir sie immerhin legen."
12a07Wa.wav,anger, In sieben Stunden wird es so weit sein.
16a07La.wav,boredom, In sieben Stunden wird es so weit sein.
13a05Wc.wav,anger, Das schwarze Blattpapier befindet sich da oben neben dem Holzstück.
11b01Lb.wav,boredom," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
